Sample no.,Frame no.,Pixels remaining,Label,>10k remaining?,,,,
590,,186,,0,,,runtime: ,1m4s
589,,277,,0,,,,
588,,123,,0,,,norm threshold:,0.1
587,,162,,0,,,,
586,,173,,0,,,num selected:,31
585,,98,,0,,,,
584,,148,,0,,,num >10k:,30
583,,181,,0,,,,
582,,80,,0,,,,
581,,121,,0,,,,
580,,185,,0,,,,
579,,308,,0,,,,
578,,123,,0,,,,
577,,162,,0,,,,
576,,172,,0,,,,
575,,100,,0,,,,
574,,134,,0,,,,
573,,165,,0,,,,
572,,75,,0,,,,
571,,116,,0,,,,
570,,186,,0,,,,
569,,226,,0,,,,
568,,120,,0,,,,
567,,160,,0,,,,
566,,171,,0,,,,
565,,102,,0,,,,
564,,133,,0,,,,
563,,166,,0,,,,
562,,76,,0,,,,
561,,116,,0,,,,
560,,186,,0,,,,
559,,259,,0,,,,
558,,121,,0,,,,
557,,160,,0,,,,
556,,170,,0,,,,
555,,97,,0,,,,
554,,133,,0,,,,
553,,165,,0,,,,
552,,76,,0,,,,
551,,10708,,1,,,,
550,,33464,,1,,,,
549,,64530,SCROLL,1,,,,
548,,48804,SCROLL,1,,,,
547,,39484,SCROLL,1,,,,
546,,46688,SCROLL,1,,,,
545,,97,,0,,,,
544,,131,,0,,,,
543,,165,,0,,,,
542,,74,,0,,,,
541,,119,,0,,,,
540,,181,,0,,,,
539,,403,,0,,,,
538,,121,,0,,,,
537,,161,,0,,,,
536,,172,,0,,,,
535,,99,,0,,,,
534,,133,,0,,,,
533,,166,,0,,,,
532,,77,,0,,,,
531,,116,,0,,,,
530,,186,,0,,,,
529,,285,,0,,,,
528,,125,,0,,,,
527,,165,,0,,,,
526,,172,,0,,,,
525,,98,,0,,,,
524,,131,,0,,,,
523,,165,,0,,,,
522,,4968,,0,,,,
521,,129,,0,,,,
520,,343,,0,,,,
519,,137,,0,,,,
518,,176,,0,,,,
517,,200,,0,,,,
516,,99,,0,,,,
515,,152,,0,,,,
514,,167,,0,,,,
513,,112,,0,,,,
512,,130,,0,,,,
511,,211,,0,,,,
510,,22,,0,,,,
509,,180,,0,,,,
508,,189,,0,,,,
507,,177,,0,,,,
506,,7,,0,,,,
505,,150,,0,,,,
504,,179,,0,,,,
503,,92,,0,,,,
502,,26,,0,,,,
501,,142,,0,,,,
500,,3588,,0,,,,
499,,4915,,0,,,,
498,,130,,0,,,,
497,,108,,0,,,,
496,,110,,0,,,,
495,,10,,0,,,,
494,,155,,0,,,,
493,,236,,0,,,,
492,,2,,0,,,,
491,,354,,0,,,,
490,,187,,0,,,,
489,,326,,0,,,,
488,,125,,0,,,,
487,,162,,0,,,,
486,,5072,,0,,,,
485,,132,,0,,,,
484,,247,,0,,,,
483,,163,,0,,,,
482,,76,,0,,,,
481,,115,,0,,,,
480,,181,,0,,,,
479,,5331,,0,,,,
478,,127,,0,,,,
477,,130,,0,,,,
476,,13,,0,,,,
475,,134,,0,,,,
474,,22,,0,,,,
473,,193,,0,,,,
472,,19,,0,,,,
471,,352,,0,,,,
470,,190,,0,,,,
469,,5302,,0,,,,
468,,125,,0,,,,
467,,8,,0,,,,
466,,177,,0,,,,
465,,145,,0,,,,
464,,185,,0,,,,
463,,52,,0,,,,
462,,328,,0,,,,
461,,116,,0,,,,
460,,185,,0,,,,
459,,306,,0,,,,
458,,123,,0,,,,
457,,161,,0,,,,
456,,171,,0,,,,
455,,98,,0,,,,
454,,133,,0,,,,
453,,165,,0,,,,
452,,86,,0,,,,
451,,128,,0,,,,
450,,197,,0,,,,
449,,238,,0,,,,
448,,119,,0,,,,
447,,160,,0,,,,
446,,171,,0,,,,
445,,99,,0,,,,
444,,133,,0,,,,
443,,166,,0,,,,
442,,75,,0,,,,
441,,116,,0,,,,
440,,186,,0,,,,
439,,257,,0,,,,
438,,120,,0,,,,
437,,159,,0,,,,
436,,171,,0,,,,
435,,98,,0,,,,
434,,132,,0,,,,
433,,165,,0,,,,
432,,5099,,0,,,,
431,,123,,0,,,,
430,,373,,0,,,,
429,,131,,0,,,,
428,,19,,0,,,,
427,,402,,0,,,,
426,,171,,0,,,,
425,,99,,0,,,,
424,,131,,0,,,,
423,,164,,0,,,,
422,,75,,0,,,,
421,,116,,0,,,,
420,,181,,0,,,,
419,,443,,0,,,,
418,,122,,0,,,,
417,,161,,0,,,,
416,,170,,0,,,,
415,,5193,,0,,,,
414,,224,,0,,,,
413,,3909,,0,,,,
412,,40102,SMALL SCROLL,1,,,,
411,,36222,SCROLL,1,,,,
410,,44495,SCROLL,1,,,,
409,,33226,,1,,,,
408,,47283,SCROLL,1,,,,
407,,42173,SCROLL,1,,,,
406,,29098,SCROLL,1,,,,
405,,102,,0,,,,
404,,133,,0,,,,
403,,167,,0,,,,
402,,75,,0,,,,
401,,120,,0,,,,
400,,185,,0,,,,
399,,5219,,0,,,,
398,,155,,0,,,,
397,,63,,0,,,,
396,,168,,0,,,,
395,,2378,,0,,,,
394,,17,,0,,,,
393,,167,,0,,,,
392,,75,,0,,,,
391,,117,,0,,,,
390,,186,,0,,,,
389,,228,,0,,,,
388,,121,,0,,,,
387,,171,,0,,,,
386,,5217,,0,,,,
385,,27655,,1,,,,
384,,24772,SCROLL,1,,,,
383,,170,,0,,,,
382,,5035,,0,,,,
381,,193,,0,,,,
380,,280,,0,,,,
379,,131,,0,,,,
378,,165,,0,,,,
377,,18,,0,,,,
376,,142,,0,,,,
375,,8,,0,,,,
374,,155,,0,,,,
373,,167,,0,,,,
372,,79,,0,,,,
371,,177,,0,,,,
370,,7801,,0,,,,
369,,23632,SMALL SCROLL,1,,,,
368,,20955,SCROLL,1,,,,
367,,5072,,0,,,,
366,,178,,0,,,,
365,,160,,0,,,,
364,,4,,0,,,,
363,,185,,0,,,,
362,,3,,0,,,,
361,,140,,0,,,,
360,,1,,0,,,,
359,,383,,0,,,,
358,,125,,0,,,,
357,,161,,0,,,,
356,,5148,,0,,,,
355,,20900,SMALL SCROLL,1,,,,
354,,21797,SCROLL,1,,,,
353,,24734,SCROLL,1,,,,
352,,116,,0,,,,
351,,188,,0,,,,
350,,277,,0,,,,
349,,5213,,0,,,,
348,,176,,0,,,,
347,,187,,0,,,,
346,,221,,0,,,,
345,,148,,0,,,,
344,,165,,0,,,,
343,,75,,0,,,,
342,,116,,0,,,,
341,,185,,0,,,,
340,,309,,0,,,,
339,,123,,0,,,,
338,,162,,0,,,,
337,,173,,0,,,,
336,,99,,0,,,,
335,,135,,0,,,,
334,,5257,,0,,,,
333,,76,,0,,,,
332,,121,,0,,,,
331,,225,,0,,,,
330,,23,,0,,,,
329,,139,,0,,,,
328,,169,,0,,,,
327,,159,,0,,,,
326,,146,,0,,,,
325,,0,,0,,,,
324,,185,,0,,,,
323,,76,,0,,,,
322,,159,,0,,,,
321,,2890,,0,,,,
320,,22240,SMALL SCROLL,1,,,,
319,,23718,SMALL SCROLL,1,,,,
318,,160,,0,,,,
317,,170,,0,,,,
316,,112,,0,,,,
315,,142,,0,,,,
314,,169,,0,,,,
313,,79,,0,,,,
312,,120,,0,,,,
311,,188,,0,,,,
310,,340,,0,,,,
309,,130,,0,,,,
308,,5206,,0,,,,
307,,147,,0,,,,
306,,148,,0,,,,
305,,164,,0,,,,
304,,78,,0,,,,
303,,128,,0,,,,
302,,70,,0,,,,
301,,1046,,0,,,,
300,,26288,,1,,,,
299,,38035,SCROLL,1,,,,
298,,161,,0,,,,
297,,188,,0,,,,
296,,102,,0,,,,
295,,150,,0,,,,
294,,176,,0,,,,
293,,20,,0,,,,
292,,150,,0,,,,
291,,1,,0,,,,
290,,287,,0,,,,
289,,148,,0,,,,
288,,107,,0,,,,
287,,15,,0,,,,
286,,130,,0,,,,
285,,1,,0,,,,
284,,178,,0,,,,
283,,492,,0,,,,
282,,120,,0,,,,
281,,13499,,1,,,,
280,,260,,0,,,,
279,,5,,0,,,,
278,,161,,0,,,,
277,,187,,0,,,,
276,,99,,0,,,,
275,,137,,0,,,,
274,,169,,0,,,,
273,,87,,0,,,,
272,,127,,0,,,,
271,,11,,0,,,,
270,,243,,0,,,,
269,,121,,0,,,,
268,,121,,0,,,,
267,,25,,0,,,,
266,,115,,0,,,,
265,,556,,0,,,,
264,,167,,0,,,,
263,,5074,,0,,,,
262,,133,,0,,,,
261,,4,,0,,,,
260,,277,,0,,,,
259,,134,,0,,,,
258,,124,,0,,,,
257,,9,,0,,,,
256,,123,,0,,,,
255,,14,,0,,,,
254,,177,,0,,,,
253,,27,,0,,,,
252,,129,,0,,,,
251,,206,,0,,,,
250,,326,,0,,,,
249,,203,,0,,,,
248,,262,,0,,,,
247,,171,,0,,,,
246,,122,,0,,,,
245,,15,,0,,,,
244,,201,,0,,,,
243,,21,,0,,,,
242,,134,,0,,,,
241,,205,,0,,,,
240,,440,,0,,,,
239,,138,,0,,,,
238,,161,,0,,,,
237,,174,,0,,,,
236,,516,,0,,,,
235,,5131,,0,,,,
234,,198,,0,,,,
233,,17,,0,,,,
232,,119,,0,,,,
231,,214,,0,,,,
230,,689,,0,,,,
229,,183,,0,,,,
228,,5261,SMALL SCROLL,0,,,,
227,,26120,SCROLL,1,,,,
226,,46487,SCROLL,1,,,,
225,,46202,SCROLL,1,,,,
224,,166,,0,,,,
223,,78,,0,,,,
222,,5021,,0,,,,
221,,191,,0,,,,
220,,330,,0,,,,
219,,183,,0,,,,
218,,182,,0,,,,
217,,176,,0,,,,
216,,104,,0,,,,
215,,147,,0,,,,
214,,169,,0,,,,
213,,89,,0,,,,
212,,120,,0,,,,
211,,187,,0,,,,
210,,249,,0,,,,
209,,127,,0,,,,
208,,195,,0,,,,
207,,184,,0,,,,
206,,125,,0,,,,
205,,135,,0,,,,
204,,179,,0,,,,
203,,4978,,0,,,,
202,,126,,0,,,,
201,,190,,0,,,,
200,,273,,0,,,,
199,,183,,0,,,,
198,,4,,0,,,,
197,,181,,0,,,,
196,,111,,0,,,,
195,,134,,0,,,,
194,,179,,0,,,,
193,,89,,0,,,,
192,,134,,0,,,,
191,,214,,0,,,,
190,,343,,0,,,,
189,,122,,0,,,,
188,,166,,0,,,,
187,,5088,,0,,,,
186,,149,,0,,,,
185,,132,,0,,,,
184,,165,,0,,,,
183,,4991,,0,,,,
182,,130,,0,,,,
181,,203,,0,,,,
180,,350,,0,,,,
179,,120,,0,,,,
178,,161,,0,,,,
177,,170,,0,,,,
176,,99,,0,,,,
175,,133,,0,,,,
174,,167,,0,,,,
173,,75,,0,,,,
172,,117,,0,,,,
171,,186,,0,,,,
170,,280,,0,,,,
169,,124,,0,,,,
168,,162,,0,,,,
167,,173,,0,,,,
166,,99,,0,,,,
165,,133,,0,,,,
164,,164,,0,,,,
163,,4977,,0,,,,
162,,129,,0,,,,
161,,191,,0,,,,
160,,320,,0,,,,
159,,123,,0,,,,
158,,163,,0,,,,
157,,5072,,0,,,,
156,,101,,0,,,,
155,,153,,0,,,,
154,,187,,0,,,,
153,,82,,0,,,,
152,,130,,0,,,,
151,,197,,0,,,,
150,,5140,,0,,,,
149,,134,,0,,,,
148,,198,,0,,,,
147,,3894,,0,,,,
146,,4682,,0,,,,
145,,151,,0,,,,
144,,168,,0,,,,
143,,77,,0,,,,
142,,117,,0,,,,
141,,5096,,0,,,,
140,,288,,0,,,,
139,,120,,0,,,,
138,,180,,0,,,,
137,,182,,0,,,,
136,,98,,0,,,,
135,,132,,0,,,,
134,,166,,0,,,,
133,,4979,,0,,,,
132,,122,,0,,,,
131,,185,,0,,,,
130,,342,,0,,,,
129,,133,,0,,,,
128,,193,,0,,,,
127,,191,,0,,,,
126,,99,,0,,,,
125,,150,,0,,,,
124,,5064,,0,,,,
123,,79,,0,,,,
122,,162,,0,,,,
121,,191,,0,,,,
120,,370,,0,,,,
119,,142,,0,,,,
118,,163,,0,,,,
117,,3902,,0,,,,
116,,112,,0,,,,
115,,5034,,0,,,,
114,,168,,0,,,,
113,,82,,0,,,,
112,,116,,0,,,,
111,,187,,0,,,,
110,,5179,,0,,,,
109,,134,,0,,,,
108,,185,,0,,,,
107,,173,,0,,,,
106,,100,,0,,,,
105,,5037,,0,,,,
104,,164,,0,,,,
103,,105,,0,,,,
102,,161,,0,,,,
101,,187,,0,,,,
100,,317,,0,,,,
99,,137,,0,,,,
98,,177,,0,,,,
97,,172,,0,,,,
96,,100,,0,,,,
95,,146,,0,,,,
94,,185,,0,,,,
93,,95,,0,,,,
92,,116,,0,,,,
91,,201,,0,,,,
90,,223,,0,,,,
89,,121,,0,,,,
88,,167,,0,,,,
87,,184,,0,,,,
86,,97,,0,,,,
85,,141,,0,,,,
84,,182,,0,,,,
83,,102,,0,,,,
82,,0,,0,,,,
81,,129,,0,,,,
80,,261,,0,,,,
79,,123,,0,,,,
78,,166,,0,,,,
77,,171,,0,,,,
76,,11,,0,,,,
75,,124,,0,,,,
74,,164,,0,,,,
73,,75,,0,,,,
72,,115,,0,,,,
71,,186,,0,,,,
70,,325,,0,,,,
69,,122,,0,,,,
68,,162,,0,,,,
67,,172,,0,,,,
66,,100,,0,,,,
65,,131,,0,,,,
64,,165,,0,,,,
63,,75,,0,,,,
62,,116,,0,,,,
61,,182,,0,,,,
60,,465,,0,,,,
59,,0,,0,,,,
58,,126,,0,,,,
57,,171,,0,,,,
56,,98,,0,,,,
55,,151,,0,,,,
54,,185,,0,,,,
53,,8,,0,,,,
52,,127,,0,,,,
51,,186,,0,,,,
50,,278,,0,,,,
49,,5023,,0,,,,
48,,175,,0,,,,
47,,205,,0,,,,
46,,119,,0,,,,
45,,136,,0,,,,
44,,164,,0,,,,
43,,87,,0,,,,
42,,117,,0,,,,
41,,185,,0,,,,
40,,309,,0,,,,
39,,122,,0,,,,
38,,162,,0,,,,
37,,171,,0,,,,
36,,123,,0,,,,
35,,0,,0,,,,
34,,79,,0,,,,
33,,1,,0,,,,
32,,125,,0,,,,
31,,0,,0,,,,
30,,220,,0,,,,
29,,121,,0,,,,
28,,160,,0,,,,
27,,171,,0,,,,
26,,5001,,0,,,,
25,,132,,0,,,,
24,,14204,,1,,,,
23,,91,,0,,,,
22,,218,,0,,,,
21,,2873,,0,,,,
20,,33992,SCROLL,1,,,,
19,,121,,0,,,,
18,,191,,0,,,,
17,,4402,,0,,,,
16,,3109,,0,,,,
15,,133,,0,,,,
14,,778,,0,,,,
13,,11,,0,,,,
12,,133,,0,,,,
11,,6,,0,,,,
10,,336,,0,,,,
9,,1,,0,,,,
8,,121,,0,,,,
7,,161,,0,,,,
6,,142,,0,,,,
5,,1,,0,,,,
4,,80,,0,,,,
3,,76,,0,,,,
2,,190,,0,,,,
1,,184,,0,,,,
0,,1318,,0,,,,